tensor(2.2705, grad_fn=<NllLossBackward0>)
tensor(2.2645, grad_fn=<NllLossBackward0>)
tensor(2.2497, grad_fn=<NllLossBackward0>)
tensor(2.2458, grad_fn=<NllLossBackward0>)
tensor(2.2567, grad_fn=<NllLossBackward0>)
tensor(2.2557, grad_fn=<NllLossBackward0>)
tensor(2.2557, grad_fn=<NllLossBackward0>)
tensor(2.2422, grad_fn=<NllLossBackward0>)
tensor(2.2368, grad_fn=<NllLossBackward0>)
tensor(2.2555, grad_fn=<NllLossBackward0>)
tensor(2.2826, grad_fn=<NllLossBackward0>)
tensor(2.2367, grad_fn=<NllLossBackward0>)
tensor(2.2475, grad_fn=<NllLossBackward0>)
tensor(2.2564, grad_fn=<NllLossBackward0>)
tensor(2.2329, grad_fn=<NllLossBackward0>)
tensor(2.2401, grad_fn=<NllLossBackward0>)
tensor(2.2671, grad_fn=<NllLossBackward0>)
tensor(2.2339, grad_fn=<NllLossBackward0>)
tensor(2.2356, grad_fn=<NllLossBackward0>)
tensor(2.2087, grad_fn=<NllLossBackward0>)
tensor(2.2515, grad_fn=<NllLossBackward0>)
tensor(2.2550, grad_fn=<NllLossBackward0>)
tensor(2.2093, grad_fn=<NllLossBackward0>)
tensor(2.2347, grad_fn=<NllLossBackward0>)
tensor(2.2128, grad_fn=<NllLossBackward0>)
tensor(2.2576, grad_fn=<NllLossBackward0>)
tensor(2.2258, grad_fn=<NllLossBackward0>)
tensor(2.1862, grad_fn=<NllLossBackward0>)
tensor(2.2474, grad_fn=<NllLossBackward0>)
tensor(2.1985, grad_fn=<NllLossBackward0>)
tensor(2.1958, grad_fn=<NllLossBackward0>)
tensor(2.1690, grad_fn=<NllLossBackward0>)
tensor(2.2017, grad_fn=<NllLossBackward0>)
tensor(2.1994, grad_fn=<NllLossBackward0>)
tensor(2.2414, grad_fn=<NllLossBackward0>)
tensor(2.1862, grad_fn=<NllLossBackward0>)
tensor(2.1943, grad_fn=<NllLossBackward0>)
tensor(2.1881, grad_fn=<NllLossBackward0>)
tensor(2.1908, grad_fn=<NllLossBackward0>)
tensor(2.1888, grad_fn=<NllLossBackward0>)
tensor(2.1642, grad_fn=<NllLossBackward0>)
tensor(2.1849, grad_fn=<NllLossBackward0>)
tensor(2.1812, grad_fn=<NllLossBackward0>)
tensor(2.1843, grad_fn=<NllLossBackward0>)
tensor(2.1974, grad_fn=<NllLossBackward0>)
tensor(2.1888, grad_fn=<NllLossBackward0>)
tensor(2.1416, grad_fn=<NllLossBackward0>)
tensor(2.1568, grad_fn=<NllLossBackward0>)
tensor(2.1844, grad_fn=<NllLossBackward0>)
tensor(2.1134, grad_fn=<NllLossBackward0>)
tensor(2.1052, grad_fn=<NllLossBackward0>)
tensor(2.1063, grad_fn=<NllLossBackward0>)
tensor(2.1272, grad_fn=<NllLossBackward0>)
tensor(2.1316, grad_fn=<NllLossBackward0>)
tensor(2.1133, grad_fn=<NllLossBackward0>)
tensor(2.0864, grad_fn=<NllLossBackward0>)
tensor(2.0946, grad_fn=<NllLossBackward0>)
tensor(2.0834, grad_fn=<NllLossBackward0>)
tensor(2.0779, grad_fn=<NllLossBackward0>)
tensor(2.0596, grad_fn=<NllLossBackward0>)
tensor(2.1484, grad_fn=<NllLossBackward0>)
tensor(2.1053, grad_fn=<NllLossBackward0>)
tensor(2.1219, grad_fn=<NllLossBackward0>)
tensor(2.1107, grad_fn=<NllLossBackward0>)
tensor(2.1595, grad_fn=<NllLossBackward0>)
tensor(2.1248, grad_fn=<NllLossBackward0>)
tensor(2.1007, grad_fn=<NllLossBackward0>)
tensor(2.0649, grad_fn=<NllLossBackward0>)
tensor(2.1000, grad_fn=<NllLossBackward0>)
tensor(2.0559, grad_fn=<NllLossBackward0>)
tensor(2.1263, grad_fn=<NllLossBackward0>)
tensor(2.0657, grad_fn=<NllLossBackward0>)
tensor(2.0450, grad_fn=<NllLossBackward0>)
tensor(2.1349, grad_fn=<NllLossBackward0>)
